item,calories,protein,fat,carbs
Starbucks Refreshers™ Raspberry Pomegranate,90.0,0.0,0.0,27.0
Starbucks Refreshers™ Strawberry Lemonade,90.0,0.0,0.0,27.0
Starbucks® Doubleshot Protein Dark Chocolate,210.0,20.0,2.5,33.0
Starbucks® Doubleshot Protein Vanilla,200.0,20.0,2.5,34.0
Starbucks® Iced Coffee Caramel,60.0,1.0,0.0,13.0
Starbucks® Iced Coffee Light Sweetened,50.0,1.0,0.0,11.0
Starbucks® Iced Coffee Unsweetened,10.0,1.0,0.0,2.0
Tazo® Bottled Berry Blossom White,60.0,0.0,0.0,15.0
Tazo® Bottled Black Mango,150.0,0.0,0.0,38.0
Tazo® Bottled Black with Lemon,140.0,0.0,0.0,35.0
Tazo® Bottled Brambleberry,140.0,0.0,0.0,35.0
Tazo® Bottled Giant Peach,150.0,0.0,0.0,37.0
Tazo® Bottled Iced Passion,70.0,0.0,0.0,17.0
Tazo® Bottled Lemon Ginger,120.0,0.0,0.0,31.0
Tazo® Bottled Organic Black Lemonade,140.0,0.0,0.0,35.0
Tazo® Bottled Organic Iced Black Tea,60.0,0.0,0.0,15.0
Tazo® Bottled Organic Iced Green Tea,120.0,0.0,0.0,31.0
Tazo® Bottled Plum Pomegranate,140.0,0.0,0.0,35.0
Tazo® Bottled Tazoberry,150.0,0.0,0.0,38.0
Tazo® Bottled White Cranberry,140.0,0.0,0.0,35.0
Blonde Roast,5.0,1.0,0.0,0.0
Clover® Brewed Coffee,10.0,1.0,0.0,0.0
Decaf Pike Place® Roast,5.0,1.0,0.0,0.0
Featured Dark Roast,5.0,1.0,0.0,0.0
Iced Coffee,5.0,0.0,0.0,0.0
Nariño 70 Cold Brew,5.0,0.0,0.0,0.0
Nariño 70 Cold Brew with Milk,0.0,0.0,0.0,0.0
Nitro Cold Brew,5.0,0.0,0.0,0.0
Nitro Cold Brew with Sweet Cream,70.0,1.0,5.0,5.0
Pike Place® Roast,5.0,1.0,0.0,0.0
Vanilla Sweet Cream Cold Brew,110.0,1.0,6.0,14.0
Hot Chocolate,320.0,14.0,9.0,47.0
Starbucks® Signature Hot Chocolate,430.0,12.0,26.0,45.0
Caffè Latte,190.0,13.0,7.0,19.0
Caffè Mocha,290.0,13.0,8.0,42.0
Cappuccino,120.0,8.0,4.0,12.0
Caramel Macchiato,250.0,10.0,7.0,35.0
Cinnamon Dolce Latte,260.0,11.0,6.0,40.0
Coconutmilk Mocha Macchiato,250.0,12.0,9.0,32.0
Flat White,180.0,12.0,7.0,18.0
Iced Caffè Latte,130.0,8.0,4.5,13.0
Iced Caffè Mocha,230.0,9.0,6.0,36.0
Iced Caramel Macchiato,250.0,10.0,7.0,37.0
Iced Cinnamon Dolce Latte,200.0,7.0,4.0,34.0
Iced Coconutmilk Mocha Macchiato,260.0,11.0,9.0,34.0
Iced Vanilla Latte,190.0,7.0,4.0,30.0
Iced White Chocolate Mocha,300.0,10.0,8.0,47.0
Latte Macchiato,190.0,12.0,7.0,19.0
Latte Macchiato,190.0,12.0,7.0,19.0
Starbucks Doubleshot® on Ice Beverage,45.0,3.0,1.0,5.0
Vanilla Latte,250.0,12.0,6.0,37.0
White Chocolate Mocha,360.0,14.0,11.0,53.0
Cinnamon Dolce Frappuccino® Blended Coffee,350.0,15.0,4.5,64.0
Coffee Light Frappuccino® Blended Coffee,110.0,3.0,0.0,24.0
Mocha Frappuccino® Blended Coffee,280.0,4.0,2.5,60.0
Mocha Light Frappuccino® Blended Coffee,140.0,4.0,0.5,28.0
Cinnamon Dolce Crème,200.0,10.0,6.0,28.0
Vanilla Crème,200.0,10.0,6.0,28.0
Chocolate Smoothie,320.0,20.0,5.0,53.0
Strawberry Smoothie,300.0,16.0,2.0,60.0
